Heads,Months,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
JOB WORK RECEIPTS,,"992,456,262","1,085,740,641","955,170,619","1,016,703,016","1,016,420,217","877,555,319","986,161,718","856,655,171","819,033,949","948,086,036","919,902,463","834,962,593","11,308,848,004"
     JOB WORK INCOME,,"992,456,262","1,085,740,641","955,170,619","1,016,703,016","1,016,420,217","877,555,319","986,161,718","856,655,171","819,033,949","948,086,036","919,902,463","834,962,593","11,308,848,004"
     LESS- EXPENSES OF JOBWORKS,,0,0,0,0,0,0,0,0,0,0,0,0,0
     LESS- NEWS PRINT OF JOBWORKS,,0,0,0,0,0,0,0,0,0,0,0,0,0
EVENT INCOME,,"1,000,000","1,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","26,000,000"
     GROSS INCOME FROM EVENTS,,"1,000,000","1,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","26,000,000"
     LESS: EXPENSES OF EVENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0
SPECIAL PROJECT,,0,0,0,0,0,0,0,0,0,0,0,0,0
     SPECIAL PROJECT INCOME,,0,0,0,0,0,0,0,0,0,0,0,0,0
     LESS -  SPECIAL PROJECT EXPENSES,,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER INCOME,,"10,610,114","10,616,662","10,610,202","10,606,952","10,601,205","10,590,693","10,605,812","10,601,112","10,598,211","10,591,815","10,568,842","10,566,604","127,168,224"
     NON-NEWS PRINT WASTAGE SALE,,"8,255,992","8,262,540","8,256,080","8,252,830","8,247,083","8,236,571","8,251,690","8,246,990","8,244,089","8,237,693","8,214,720","8,212,462","98,918,740"
     INTEREST ON FD / SECURITY / DEPOSITS & OTHERS,,"1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,177","1,477,197","17,726,144"
     BALANCES / PROVISION WRITTEN OFF,,0,0,0,0,0,0,0,0,0,0,0,0,0
     PROFIT / LOSS ON SALE OF ASSETS,,0,0,0,0,0,0,0,0,0,0,0,0,0
